货箱编号,架次编号,服务区编号,交付完成时刻s,硬时限s,期望送达时刻s,是否硬时限满足
S010-FOD-01,Q2-001,S010,1084.823,,7200.0,
S010-MED-01,Q2-001,S010,1084.823,3600.0,3600.0,是
S010-WAT-01,Q2-001,S010,1084.823,3600.0,3600.0,是
S014-FOD-01,Q2-002,S014,1241.856,,7200.0,
S014-MED-01,Q2-002,S014,1241.856,7200.0,7200.0,是
S014-WAT-01,Q2-002,S014,1241.856,3600.0,3600.0,是
S001-FOD-03,Q2-007,S001,1314.898,,7200.0,
S001-HYG-02,Q2-007,S001,1314.898,,10800.0,
S001-MED-01,Q2-007,S001,1314.898,3600.0,3600.0,是
S001-MED-02,Q2-007,S001,1314.898,3600.0,3600.0,是
S001-WAT-05,Q2-007,S001,1314.898,,3600.0,
S001-WAT-06,Q2-007,S001,1314.898,,3600.0,
S001-WAT-07,Q2-007,S001,1314.898,,3600.0,
S001-WAT-08,Q2-007,S001,1314.898,,3600.0,
S001-FOD-01,Q2-010,S001,1248.898,,7200.0,
S001-FOD-02,Q2-010,S001,1248.898,,7200.0,
S001-HYG-01,Q2-010,S001,1248.898,,10800.0,
S001-WAT-01,Q2-010,S001,1248.898,3600.0,3600.0,是
S001-WAT-02,Q2-010,S001,1248.898,,3600.0,
S001-WAT-03,Q2-010,S001,1248.898,,3600.0,
S001-WAT-04,Q2-010,S001,1248.898,,3600.0,
S007-MED-01,Q2-006,S007,2621.819,3600.0,3600.0,是
S007-WAT-02,Q2-006,S007,2621.819,,3600.0,
S015-MED-01,Q2-006,S015,3050.358,7200.0,7200.0,是
S007-FOD-01,Q2-005,S007,2621.819,,7200.0,
S007-WAT-01,Q2-005,S007,2621.819,3600.0,3600.0,是
S009-MED-01,Q2-004,S009,2679.406,10800.0,10800.0,是
S009-WAT-01,Q2-004,S009,2679.406,10800.0,10800.0,是
S002-WAT-04,Q2-014,S002,3049.923,,3600.0,
S009-FOD-01,Q2-014,S009,2649.406,,14400.0,
S013-FOD-01,Q2-013,S013,2617.307,,7200.0,
S013-MED-01,Q2-013,S013,2617.307,3600.0,3600.0,是
S013-WAT-01,Q2-013,S013,2617.307,3600.0,3600.0,是
S006-FOD-01,Q2-008,S006,2770.504,,7200.0,
S006-HYG-01,Q2-008,S006,2770.504,,10800.0,
S006-MED-01,Q2-008,S006,2770.504,3600.0,3600.0,是
S006-WAT-01,Q2-008,S006,2770.504,3600.0,3600.0,是
S006-WAT-02,Q2-008,S006,2770.504,,3600.0,
S006-WAT-03,Q2-008,S006,2770.504,,3600.0,
S002-FOD-01,Q2-011,S002,3182.341,,7200.0,
S002-FOD-02,Q2-011,S002,3182.341,,7200.0,
S002-HYG-01,Q2-011,S002,3182.341,,10800.0,
S002-MED-01,Q2-011,S002,3182.341,3600.0,3600.0,是
S002-WAT-01,Q2-011,S002,3182.341,3600.0,3600.0,是
S002-WAT-02,Q2-011,S002,3182.341,,3600.0,
S002-WAT-03,Q2-011,S002,3182.341,,3600.0,
S012-FOD-01,Q2-012,S012,3140.430,,7200.0,
S012-MED-01,Q2-012,S012,3140.430,7200.0,7200.0,是
S012-WAT-01,Q2-012,S012,3140.430,3600.0,3600.0,是
S008-HYG-01,Q2-009,S008,4298.146,,14400.0,
S008-WAT-01,Q2-009,S008,4298.146,7200.0,7200.0,是
S003-MED-01,Q2-015,S003,4944.070,7200.0,7200.0,是
S003-WAT-04,Q2-015,S003,4944.070,,7200.0,
S011-MED-01,Q2-015,S011,4101.794,10800.0,10800.0,是
S003-FOD-01,Q2-016,S003,5111.392,,10800.0,
S003-FOD-02,Q2-016,S003,5111.392,,10800.0,
S003-HYG-01,Q2-016,S003,5111.392,,14400.0,
S003-WAT-01,Q2-016,S003,5111.392,7200.0,7200.0,是
S003-WAT-02,Q2-016,S003,5111.392,,7200.0,
S003-WAT-03,Q2-016,S003,5111.392,,7200.0,
S007-HYG-01,Q2-016,S007,4472.224,,10800.0,
S015-FOD-01,Q2-021,S015,4502.130,,14400.0,
S015-WAT-01,Q2-021,S015,4502.130,10800.0,10800.0,是
S008-FOD-01,Q2-019,S008,5085.573,,10800.0,
S008-MED-01,Q2-019,S008,5085.573,7200.0,7200.0,是
S008-WAT-02,Q2-019,S008,5085.573,,7200.0,
S005-FOD-01,Q2-020,S005,5179.094,,14400.0,
S005-HYG-01,Q2-020,S005,5179.094,,18000.0,
S005-MED-01,Q2-020,S005,5179.094,10800.0,10800.0,是
S005-WAT-01,Q2-020,S005,5179.094,10800.0,10800.0,是
S005-WAT-02,Q2-020,S005,5179.094,,10800.0,
S005-WAT-03,Q2-020,S005,5179.094,,10800.0,
S004-HYG-01,Q2-003,S004,6115.817,,14400.0,
S004-MED-01,Q2-003,S004,6115.817,7200.0,7200.0,是
S004-FOD-01,Q2-017,S004,6115.817,,10800.0,
S004-WAT-03,Q2-017,S004,6115.817,,7200.0,
S004-WAT-01,Q2-018,S004,6215.398,7200.0,7200.0,是
S004-WAT-02,Q2-018,S004,6215.398,,7200.0,
S011-FOD-01,Q2-022,S011,6605.294,,14400.0,
S011-WAT-01,Q2-022,S011,6605.294,10800.0,10800.0,是
