货箱编号,架次编号,服务区编号,交付完成时刻s,硬时限s,期望送达时刻s,是否硬时限满足
S008-MED-01,Q3-001,S008,1308.330,7200.0,7200.0,是
S012-FOD-01,Q3-002,S012,1271.831,,7200.0,
S012-MED-01,Q3-002,S012,1271.831,7200.0,7200.0,是
S012-WAT-01,Q3-002,S012,1271.831,3600.0,3600.0,是
S006-FOD-01,Q3-003,S006,1209.077,,7200.0,
S006-HYG-01,Q3-003,S006,1209.077,,10800.0,
S006-MED-01,Q3-003,S006,1209.077,3600.0,3600.0,是
S006-WAT-01,Q3-003,S006,1209.077,3600.0,3600.0,是
S006-WAT-02,Q3-003,S006,1209.077,,3600.0,
S006-WAT-03,Q3-003,S006,1209.077,,3600.0,
S003-FOD-02,Q3-004,S003,1409.113,,10800.0,
S003-WAT-01,Q3-004,S003,1409.113,7200.0,7200.0,是
S013-FOD-01,Q3-005,S013,1062.734,,7200.0,
S013-MED-01,Q3-005,S013,1062.734,3600.0,3600.0,是
S013-WAT-01,Q3-005,S013,1062.734,3600.0,3600.0,是
S001-FOD-02,Q3-008,S001,1314.898,,7200.0,
S001-FOD-03,Q3-008,S001,1314.898,,7200.0,
S001-MED-01,Q3-008,S001,1314.898,3600.0,3600.0,是
S001-MED-02,Q3-008,S001,1314.898,3600.0,3600.0,是
S001-WAT-02,Q3-008,S001,1314.898,,3600.0,
S001-WAT-04,Q3-008,S001,1314.898,,3600.0,
S001-WAT-05,Q3-008,S001,1314.898,,3600.0,
S001-WAT-06,Q3-008,S001,1314.898,,3600.0,
S007-MED-01,Q3-014,S007,1141.299,3600.0,3600.0,是
S007-WAT-02,Q3-014,S007,1141.299,,3600.0,
S002-FOD-02,Q3-015,S002,1285.806,,7200.0,
S002-WAT-01,Q3-015,S002,1285.806,3600.0,3600.0,是
S014-FOD-01,Q3-006,S014,2752.257,,7200.0,
S014-MED-01,Q3-006,S014,2752.257,7200.0,7200.0,是
S014-WAT-01,Q3-006,S014,2752.257,3600.0,3600.0,是
S001-FOD-01,Q3-010,S001,2809.762,,7200.0,
S001-HYG-01,Q3-010,S001,2809.762,,10800.0,
S001-HYG-02,Q3-010,S001,2809.762,,10800.0,
S001-WAT-01,Q3-010,S001,2809.762,3600.0,3600.0,是
S001-WAT-03,Q3-010,S001,2809.762,,3600.0,
S001-WAT-07,Q3-010,S001,2809.762,,3600.0,
S001-WAT-08,Q3-010,S001,2809.762,,3600.0,
S002-FOD-01,Q3-011,S002,3116.341,,7200.0,
S002-HYG-01,Q3-011,S002,3116.341,,10800.0,
S002-MED-01,Q3-011,S002,3116.341,3600.0,3600.0,是
S002-WAT-02,Q3-011,S002,3116.341,,3600.0,
S002-WAT-03,Q3-011,S002,3116.341,,3600.0,
S002-WAT-04,Q3-011,S002,3116.341,,3600.0,
S007-HYG-01,Q3-016,S007,2808.618,,10800.0,
S010-FOD-01,Q3-007,S010,3008.624,,7200.0,
S010-MED-01,Q3-007,S010,3008.624,3600.0,3600.0,是
S010-WAT-01,Q3-007,S010,3008.624,3600.0,3600.0,是
S007-FOD-01,Q3-017,S007,3149.032,,7200.0,
S007-WAT-01,Q3-017,S007,3149.032,3600.0,3600.0,是
S005-FOD-01,Q3-013,S005,4496.949,,14400.0,
S005-HYG-01,Q3-013,S005,4496.949,,18000.0,
S005-MED-01,Q3-013,S005,4496.949,10800.0,10800.0,是
S005-WAT-01,Q3-013,S005,4496.949,10800.0,10800.0,是
S005-WAT-02,Q3-013,S005,4496.949,,10800.0,
S005-WAT-03,Q3-013,S005,4496.949,,10800.0,
S009-FOD-01,Q3-009,S009,4470.979,,14400.0,
S009-MED-01,Q3-009,S009,4470.979,10800.0,10800.0,是
S009-WAT-01,Q3-009,S009,4470.979,10800.0,10800.0,是
S008-FOD-01,Q3-024,S008,4858.826,,10800.0,
S008-WAT-01,Q3-024,S008,4858.826,7200.0,7200.0,是
S003-FOD-01,Q3-019,S003,5383.800,,10800.0,
S003-HYG-01,Q3-019,S003,5383.800,,14400.0,
S003-MED-01,Q3-019,S003,5383.800,7200.0,7200.0,是
S003-WAT-02,Q3-019,S003,5383.800,,7200.0,
S003-WAT-03,Q3-019,S003,5383.800,,7200.0,
S003-WAT-04,Q3-019,S003,5383.800,,7200.0,
S011-FOD-01,Q3-012,S011,4691.387,,14400.0,
S011-MED-01,Q3-012,S011,4691.387,10800.0,10800.0,是
S011-WAT-01,Q3-012,S011,4691.387,10800.0,10800.0,是
S004-MED-01,Q3-018,S004,5888.975,7200.0,7200.0,是
S004-WAT-03,Q3-018,S004,5888.975,,7200.0,
S004-FOD-01,Q3-023,S004,5888.975,,10800.0,
S004-WAT-01,Q3-023,S004,5888.975,7200.0,7200.0,是
S004-HYG-01,Q3-020,S004,6184.312,,14400.0,
S004-WAT-02,Q3-020,S004,6184.312,,7200.0,
S008-HYG-01,Q3-022,S008,6207.188,,14400.0,
S008-WAT-02,Q3-022,S008,6207.188,,7200.0,
S015-FOD-01,Q3-021,S015,6307.900,,14400.0,
S015-MED-01,Q3-021,S015,6307.900,7200.0,7200.0,是
S015-WAT-01,Q3-021,S015,6307.900,10800.0,10800.0,是
