架次编号,无人机编号,机型编号,电池编号,开始时刻s,访问服务区顺序,返回O01时刻s,架次能耗kWh,返航SOC%,货箱编号列表
Q2-001,U07,C,C-BAT-01,0.0,S001,1561.427,2.926237,63.422,"S001-MED-01,S001-MED-02,S001-WAT-01,S001-WAT-02,S001-WAT-03,S001-WAT-04,S001-WAT-05"
Q2-002,U08,C,C-BAT-02,0.0,S006,1560.864,2.593935,67.5758,"S006-FOD-01,S006-HYG-01,S006-MED-01,S006-WAT-01,S006-WAT-02,S006-WAT-03"
Q2-003,U05,B,B-BAT-01,0.0,S002,1819.89,2.721898,31.9525,"S002-FOD-01,S002-MED-01,S002-WAT-01"
Q2-004,U06,B,B-BAT-02,0.0,S007,1636.191,1.77974,55.5065,"S007-FOD-01,S007-MED-01,S007-WAT-01"
Q2-005,U01,A,A-BAT-01,0.0,S013,1612.025,1.957713,56.4953,"S013-MED-01,S013-WAT-01"
Q2-006,U02,A,A-BAT-02,0.0,S010,1653.854,1.9525,56.6111,"S010-MED-01,S010-WAT-01"
Q2-007,U03,A,A-BAT-03,0.0,S012,2110.416,2.961022,34.1995,"S012-MED-01,S012-WAT-01"
Q2-008,U04,A,A-BAT-04,0.0,S014,1988.962,2.287579,49.1649,"S014-MED-01,S014-WAT-01"
Q2-010,U08,C,C-BAT-03,1560.864,S002,3605.872,5.739334,28.2583,"S002-FOD-02,S002-HYG-01,S002-WAT-02,S002-WAT-03,S002-WAT-04"
Q2-009,U07,C,C-BAT-04,1561.427,S001,3188.853,3.004662,62.4417,"S001-FOD-01,S001-FOD-02,S001-FOD-03,S001-HYG-01,S001-HYG-02,S001-WAT-06,S001-WAT-07,S001-WAT-08"
Q2-017,U01,A,A-BAT-05,1612.025,"S013,S012",3950.476,2.987653,33.6077,"S012-FOD-01,S013-FOD-01"
Q2-011,U06,B,B-BAT-03,1636.191,S007,3212.382,1.65623,58.5943,"S007-HYG-01,S007-WAT-02"
Q2-018,U02,A,A-BAT-06,1653.854,S010,3247.707,1.865678,58.5405,S010-FOD-01
Q2-015,U05,B,B-BAT-04,1819.89,S003,3900.133,2.779102,30.5225,"S003-FOD-02,S003-MED-01,S003-WAT-04"
Q2-019,U03,A,A-BAT-01,2677.586,S014,4606.548,2.185331,51.4371,S014-FOD-01
Q2-012,U07,C,C-BAT-01,3188.853,S004,5494.039,6.176859,22.7893,"S004-FOD-01,S004-HYG-01,S004-MED-01,S004-WAT-01,S004-WAT-02,S004-WAT-03"
Q2-016,U06,B,B-BAT-02,3212.382,S015,5041.956,2.310846,42.2289,"S015-FOD-01,S015-MED-01,S015-WAT-01"
Q2-013,U08,C,C-BAT-02,3605.872,S008,5809.632,5.857451,26.7819,"S008-FOD-01,S008-HYG-01,S008-MED-01,S008-WAT-01,S008-WAT-02"
Q2-021,U05,B,B-BAT-01,3900.133,S009,5460.913,2.102431,47.4392,"S009-FOD-01,S009-MED-01,S009-WAT-01"
Q2-022,U06,B,B-BAT-03,5041.956,S011,6231.587,1.077146,73.0713,"S011-FOD-01,S011-MED-01,S011-WAT-01"
Q2-014,U07,C,C-BAT-04,5494.039,S003,7863.85,5.763282,27.959,"S003-FOD-01,S003-HYG-01,S003-WAT-01,S003-WAT-02,S003-WAT-03"
Q2-020,U08,C,C-BAT-03,5993.608,S005,7873.654,4.238735,47.0158,"S005-FOD-01,S005-HYG-01,S005-MED-01,S005-WAT-01,S005-WAT-02,S005-WAT-03"
